Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
242380266,"The Midnight Train (The Midnight World, #2)",Matt Haig,"Haig, Matt",,"=""0593833376""","=""9780593833377""",0,Viking,Hardcover,296,2026,2026,,2026/03/18,to-read,to-read (#259),to-read,,,,0,0
238226942,Yesteryear,Caro Claire Burke,"Burke, Caro Claire",,"=""""","=""""",0,Knopf,Hardcover,400,2026,2026,,2026/03/18,to-read,to-read (#258),to-read,,,,0,0
248286863,The French Illusion,John Grisham,"Grisham, John",,"=""0385550545""","=""9780385550543""",0,Doubleday,Hardcover,352,2026,2026,,2026/03/17,to-read,to-read (#257),to-read,,,,0,0
221144907,She Didn't See It Coming,Shari Lapena,"Lapena, Shari",,"=""0593832450""","=""9780593832455""",5.0,Pamela Dorman Books,Kindle Edition,362,2025,2025,2026/03/15,2026/03/15,,,read,,,,1,0
28815474,The Couple Next Door,Shari Lapena,"Lapena, Shari",,"=""0735221081""","=""9780735221086""",0,Pamela Dorman Books,Hardcover,308,2016,2016,,2026/03/15,"to-read, top-10","to-read (#256), top-10 (#18)",to-read,,,,0,0
239051491,American Fantasy,Emma Straub,"Straub, Emma",,"=""""","=""9798217046850""",0,Riverhead Books,Hardcover,304,2026,2026,,2026/03/12,"to-read, top-10","to-read (#255), top-10 (#17)",to-read,,,,0,0
228142780,1929: Inside the Greatest Crash in Wall Street History--and How It Shattered a Nation,Andrew Ross Sorkin,"Sorkin, Andrew Ross",,"=""0593296966""","=""9780593296967""",0,Viking,Hardcover,592,2025,2025,,2026/03/12,to-read,to-read (#254),to-read,,,,0,0
124102964,The Everything War: Amazon's Ruthless Quest to Own the World and Remake Corporate Power,Dana Mattioli,"Mattioli, Dana",,"=""031626993X""","=""9780316269933""",0,"Little, Brown and Company",Kindle Edition,393,2024,2024,,2026/03/06,to-read,to-read (#253),to-read,,,,0,0
216247552,No More Tears: The Dark Secrets of Johnson & Johnson,Gardiner Harris,"Harris, Gardiner",,"=""059322986X""","=""9780593229866""",2.0,Random House,Hardcover,464,2025,2025,2026/03/04,2025/12/06,,,read,,,,1,0
235992700,Everybody Loses: The Tumultuous Rise of American Sports Gambling,Danny Funt,"Funt, Danny",,"=""166806202X""","=""9781668062029""",0,Gallery Books,Hardcover,320,2026,,,2026/03/03,to-read,to-read (#252),to-read,,,,0,0
52379735,The Echo Wife,Sarah Gailey,"Gailey, Sarah",,"=""125017466X""","=""9781250174666""",5.0,Tor Books,Hardcover,256,2021,2021,2025/12/20,2021/12/17,all-time-faves,all-time-faves (#105),read,,,,1,0
238286481,You With the Sad Eyes,Christina Applegate,"Applegate, Christina",,"=""031659492X""","=""9780316594929""",0,"Little, Brown & Co.",Hardcover,304,2026,2026,,2026/02/26,"to-read, library-unavailable","to-read (#250), library-unavailable (#97)",to-read,,,,0,0
227205,"Loose Balls: The Short, Wild Life of the American Basketball Association",Terry Pluto,"Pluto, Terry",,"=""0671749218""","=""9780671749217""",0,Simon & Schuster,Paperback,450,1991,1990,,2026/02/25,"to-read, top-10, library-unavailable","to-read (#249), top-10 (#15), library-unavailable (#96)",to-read,,,,0,0
53376389,You Can't Lose Them All: Tales of a Degenerate Gambler and His Ridiculous Friends,Sal Iacono,"Iacono, Sal",Jimmy Kimmel,"=""1538735326""","=""9781538735329""",0,Twelve,Hardcover,256,2021,,,2026/01/25,"to-read, library-unavailable","to-read (#247), library-unavailable (#95)",to-read,,,,0,0
7076139,"American Sketches: Great Leaders, Creative Thinkers, and Heroes of a Hurricane",Walter Isaacson,"Isaacson, Walter",,"=""1439180644""","=""9781439180648""",0,Simon & Schuster,Hardcover,304,2009,2009,,2026/01/24,"to-read, library-unavailable","to-read (#246), library-unavailable (#94)",to-read,,,,0,0
228158146,The Final Score,Don Winslow,"Winslow, Don",,"=""0063450429""","=""9780063450424""",0,William Morrow,Hardcover,304,2026,2026,,2026/02/26,to-read,to-read (#251),to-read,,,,0,0
62558732,None of This Is True,Lisa Jewell,"Jewell, Lisa",,"=""""","=""""",5.0,Atria,Kindle Edition,384,2023,2023,2026/01/04,2023/09/07,all-time-faves,all-time-faves (#104),read,,,,1,0
210993995,Beautiful Ugly,Alice Feeney,"Feeney, Alice",,"=""1250337798""","=""9781250337795""",5.0,Flatiron Books,Kindle Edition,320,2025,2025,2026/01/22,2025/12/17,all-time-faves,all-time-faves (#103),read,,,,1,0
219775636,Gone Before Goodbye,Reese Witherspoon,"Witherspoon, Reese",Harlan Coben,"=""1538774712""","=""9781538774717""",5.0,Grand Central Publishing,Kindle Edition,344,2025,2025,2026/02/24,2025/10/02,,,read,,,,1,0
209080212,The Long Walk,Stephen  King,"King, Stephen",Richard  Bachman,"=""""","=""""",4.0,Scribner,Kindle Edition,400,2016,1979,2026/02/19,2024/04/11,,,read,,,,1,0
219446263,My Next Breath,Jeremy Renner,"Renner, Jeremy",,"=""1250383536""","=""9781250383532""",3.0,Flatiron Books,Hardcover,224,2025,2025,2026/02/13,2025/11/17,,,read,,,,1,0
229005082,The Widow,John Grisham,"Grisham, John",,"=""0385548990""","=""9780385548991""",5.0,Vintage,Kindle Edition,407,2025,2025,2026/02/01,2025/04/09,library-unavailable,library-unavailable (#69),read,,,,1,0
241674483,The Jackal's Mistress,Chris Bohjalian,"Bohjalian, Chris",,"=""0593315014""","=""9780593315019""",0,Vintage,Paperback,336,2026,2025,,2026/01/31,to-read,to-read (#248),to-read,,,,0,0
237396511,The Greatest Sentence Ever Written,Walter Isaacson,"Isaacson, Walter",,"=""1982181338""","=""9781982181338""",5.0,Simon & Schuster,ebook,80,2025,2025,2026/01/24,2026/01/24,,,read,,,,1,0
232207670,Neptune's Fortune: The Billion-Dollar Shipwreck and the Ghosts of the Spanish Empire,Julian Sancton,"Sancton, Julian",,"=""0593594177""","=""9780593594179""",0,Crown,Hardcover,384,2026,2026,,2025/12/20,"to-read, library-unavailable","to-read (#244), library-unavailable (#93)",to-read,,,,0,0
61432218,No One Saw a Thing,Andrea Mara,"Mara, Andrea",,"=""178763650X""","=""9781787636507""",0,Bantam,Hardcover,384,2023,2023,,2025/12/01,"to-read, library-unavailable","to-read (#239), library-unavailable (#92)",to-read,,,,0,0
239522729,Football,Chuck Klosterman,"Klosterman, Chuck",,"=""0593490649""","=""9780593490648""",0,Penguin Press,Hardcover,304,2026,2026,,2025/11/28,"to-read, top-10","to-read (#238), top-10 (#9)",to-read,,,,0,0
239680410,A Violent Masterpiece,Jordan Harper,"Harper, Jordan",,"=""0316458406""","=""9780316458405""",0,Mulholland Books,Hardcover,384,2026,2026,,2025/11/06,"to-read, top-10, library-unavailable","to-read (#237), top-10 (#8), library-unavailable (#91)",to-read,,,,0,0
238227105,Parks and Rec: The Underdog TV Show That Lit'rally Inspired a Vision for a Better America,Jennifer Keishin Armstrong,"Armstrong, Jennifer Keishin",,"=""0593854519""","=""9780593854518""",0,Dutton,Hardcover,301,2026,2026,,2025/11/06,"to-read, top-10, library-unavailable","to-read (#236), top-10 (#12), library-unavailable (#90)",to-read,,,,0,0
133798223,The Amazing Adventures of Cavalier & Clay,Michael Chabon,"Chabon, Michael",,"=""""","=""""",0,Random House Inc,Unknown Binding,,,2000,,2025/11/05,"to-read, library-unavailable","to-read (#235), library-unavailable (#89)",to-read,,,,0,0
1972,Den of Thieves,James B. Stewart,"Stewart, James B.",,"=""067179227X""","=""9780671792275""",0,Simon & Schuster,Paperback,592,1992,1991,,2025/10/16,"to-read, library-unavailable","to-read (#230), library-unavailable (#88)",to-read,,,,0,0
